wavelength,flux,model,sky
4595.153,23.533,24.924,8.412
4596.211,24.121,24.786,8.032
4597.27,24.58,24.756,7.7
4598.329,24.409,24.832,7.678
4599.387,26.139,25.156,7.693
4600.447,26.468,25.037,7.412
4601.506,23.633,24.976,7.396
4602.566,26.419,25.06,7.663
4603.626,25.849,25.059,7.913
4604.686,24.05,24.929,7.964
4605.746,25.035,25.045,7.993
4606.807,25.447,24.971,7.631
4607.868,24.389,25.021,7.532
4608.929,24.423,25.207,8.023
4609.99,25.603,25.178,8.451
4611.052,24.774,24.866,8.438
4612.114,23.849,24.962,8.075
4613.176,25.27,24.77,7.444
4614.238,26.535,24.715,7.345
4615.301,24.862,24.582,7.636
4616.364,25.989,24.557,8.096
4617.427,25.787,24.854,7.892
4618.49,25.305,24.617,7.38
4619.553,25.129,24.343,7.391
4620.617,24.997,24.508,8.063
4621.681,25.587,24.679,8.776
4622.746,25.956,24.69,8.732
4623.81,24.797,24.703,8.329
4624.875,24.617,24.553,8.168
4625.94,26.227,24.647,8.25
4627.005,25.749,24.712,8.334
4628.071,24.736,24.521,8.175
4629.137,25.114,24.372,8.136
4630.203,26.993,24.572,7.932
4631.269,26.309,24.618,7.688
4632.335,26.387,24.467,8.059
4633.402,27.138,24.368,8.628
4634.469,24.706,24.257,8.163
4635.536,26.393,24.275,7.719
4636.604,24.801,24.584,7.789
4637.672,25.927,24.738,7.416
4638.74,25.423,24.544,7.39
4639.808,24.317,24.396,7.903
4640.876,25.03,24.478,8.136
4641.945,24.394,24.572,8.057
4643.014,24.949,24.454,8.05
4644.083,27.149,24.396,8.005
4645.153,25.152,24.379,7.997
4646.222,25.787,24.242,7.945
4647.292,24.574,24.184,7.778
4648.363,24.248,24.175,7.644
4649.433,23.988,24.188,7.901
4650.504,24.912,24.571,8.21
4651.575,24.449,24.222,7.784
4652.646,24.178,24.401,7.465
4653.717,24.189,24.604,7.728
4654.789,24.457,24.406,8.038
4655.861,23.594,24.288,8.356
4656.933,24.088,24.673,8.542
4658.006,24.814,24.525,9.06
4659.078,24.248,24.4,9.889
4660.151,24.128,24.48,10.385
4661.224,25.368,24.444,10.52
4662.298,25.167,24.218,10.706
4663.371,23.066,24.486,10.283
4664.445,24.349,24.488,10.077
4665.519,24.294,24.399,10.266
4666.594,24.455,24.201,10.175
4667.668,25.719,24.178,9.969
4668.743,25.832,24.484,10.264
4669.818,23.876,24.359,10.511
4670.894,26.27,24.309,10.688
4671.97,23.02,24.404,10.986
4673.045,25.09,24.243,11.033
4674.122,24.753,24.078,10.947
4675.198,25.689,24.251,10.908
4676.275,25.721,24.002,10.719
4677.351,25.456,23.982,10.426
4678.429,25.077,24.029,10.11
4679.506,25.188,23.977,9.405
4680.584,24.87,23.893,8.808
4681.661,21.619,23.914,9.084
4682.74,25.722,23.937,9.234
4683.818,26.023,23.796,9.291
4684.896,22.231,24.029,9.661
4685.975,24.292,24.086,9.477
4687.054,25.026,23.898,9.268
4688.134,24.942,23.887,8.964
4689.213,22.75,23.804,8.882
4690.293,23.869,23.823,9.024
4691.373,24.039,23.864,9.148
4692.454,24.485,23.767,8.645
4693.534,24.537,23.624,8.168
4694.615,24.293,23.637,8.4
4695.696,24.083,23.72,8.819
4696.778,23.893,23.792,8.901
4697.859,24.092,23.691,8.458
4698.941,24.894,23.649,7.968
4700.023,25.324,23.848,8.082
4701.106,23.749,24.077,8.083
4702.188,22.752,23.851,8.033
4703.271,26.089,23.593,8.626
4704.354,23.35,23.629,8.49
4705.437,24.353,23.585,8.077
4706.521,24.917,23.558,8.029
4707.605,23.452,23.779,8.611
4708.689,25.105,23.597,8.609
4709.773,22.652,23.591,8.885
4710.858,23.951,23.639,8.883
4711.943,24.341,23.8,8.582
4713.028,23.654,23.802,8.433
4714.113,22.921,23.519,8.258
4715.199,23.776,23.71,8.074
4716.285,24.059,23.445,8.326
4717.371,24.012,23.366,8.729
4718.457,24.978,23.402,8.745
4719.544,24.519,23.459,9.04
4720.63,22.289,23.581,9.039
4721.718,23.108,23.547,8.613
4722.805,24.055,23.703,8.521
4723.892,22.224,23.52,8.398
4724.98,24.952,23.367,8.633
4726.068,23.128,23.381,9.271
4727.157,24.83,23.284,8.582
4728.245,23.002,23.157,8.227
4729.334,22.105,23.156,8.822
4730.423,23.937,23.525,8.812
4731.513,23.594,23.503,8.442
4732.602,25.194,23.182,8.194
4733.692,25.196,23.213,8.433
4734.782,23.205,23.148,8.707
4735.872,23.675,23.224,8.709
4736.963,24.591,23.247,8.601
4738.054,23.203,23.336,9.148
4739.145,22.448,23.424,9.85
4740.236,23.158,23.321,9.903
4741.328,24.136,23.19,9.765
4742.42,24.266,22.992,9.688
4743.512,21.85,22.998,10.003
4744.604,22.146,23.102,10.121
4745.697,22.276,23.246,9.331
4746.79,23.372,23.396,8.597
4747.883,23.174,23.283,8.616
4748.976,25.519,23.228,8.366
4750.07,21.537,22.989,8.428
4751.164,22.392,22.911,8.807
4752.258,25.569,23.008,8.926
4753.352,23.534,23.024,8.961
4754.447,23.6,23.151,8.818
4755.542,24.344,22.952,8.817
4756.637,23.592,22.915,8.4
4757.732,24.368,23.042,7.807
4758.828,23.111,23.01,8.045
4759.924,22.417,22.789,8.384
4761.02,23.053,22.93,8.139
4762.116,22.203,22.761,8.007
4763.213,22.988,22.731,7.85
4764.31,24.385,22.834,7.325
4765.407,22.308,22.909,7.438
4766.504,22.828,22.928,7.54
4767.602,24.055,22.95,7.41
4768.7,23.041,22.895,7.447
4769.798,22.751,22.962,7.668
4770.897,21.822,22.915,7.947
4771.995,24.298,22.796,7.954
4773.094,22.73,22.928,8.003
4774.193,22.377,23.184,7.735
4775.293,22.499,22.881,7.721
4776.392,22.222,22.834,8.047
4777.492,23.139,22.892,7.708
4778.593,23.917,22.922,7.683
4779.693,23.189,23.053,8.313
4780.794,23.852,23.055,8.721
4781.895,23.252,22.879,8.183
4782.996,22.068,22.925,7.786
4784.097,21.371,23.321,7.91
4785.199,21.718,23.713,7.613
4786.301,23.118,23.903,7.389
4787.403,24.082,24.557,7.698
4788.506,26.607,25.364,7.833
4789.608,24.486,25.819,7.611
4790.711,24.937,26.072,7.811
4791.815,23.463,26.227,8.097
4792.918,26.214,26.13,8.257
4794.022,26.447,25.713,8.413
4795.126,23.258,25.091,8.271
4796.23,24.506,24.478,7.941
4797.334,22.352,23.934,7.662
4798.439,21.328,23.451,7.588
4799.544,22.88,23.032,7.634
4800.65,21.931,22.775,8.014
4801.755,22.129,22.956,8.333
4802.861,22.309,22.729,8.367
4803.967,20.967,22.573,8.657
4805.073,21.856,22.675,8.61
4806.18,20.437,22.669,7.998
4807.286,21.281,22.642,7.805
4808.393,21.88,22.548,8.05
4809.501,20.208,22.475,7.822
4810.608,23.783,22.44,7.806
4811.716,23.652,22.487,8.186
4812.824,21.955,22.595,8.054
4813.933,22.146,22.586,7.824
4815.041,21.829,22.733,8.24
4816.15,21.571,22.518,8.577
4817.259,21.283,22.333,8.533
4818.368,21.879,22.462,9.093
4819.478,23.092,22.638,9.158
4820.588,20.621,22.499,9.245
4821.698,23.3,22.423,9.718
4822.808,23.871,22.48,9.89
4823.919,23.889,22.603,9.032
4825.03,22.849,22.722,8.84
4826.141,21.624,22.749,9.115
4827.252,21.264,22.582,9.067
4828.364,22.218,22.399,9.096
4829.476,22.501,22.366,9.296
4830.588,23.168,22.499,9.059
4831.7,21.266,22.602,8.767
4832.813,21.984,22.503,8.824
4833.926,23.571,22.379,9.124
4835.039,21.697,22.255,9.634
4836.153,21.489,22.379,9.211
4837.266,20.103,22.405,8.884
4838.38,20.492,22.205,9.536
4839.494,22.796,22.09,9.929
4840.609,22.55,22.245,9.634
4841.724,21.501,22.061,9.191
4842.839,22.132,21.941,8.948
4843.954,19.725,21.924,8.681
4845.069,21.338,21.893,8.418
4846.185,19.967,21.81,8.711
4847.301,19.972,21.729,8.835
4848.417,23.264,21.645,8.951
4849.534,19.724,21.355,8.319
4850.651,20.761,21.44,7.281
4851.768,23.859,21.685,7.572
4852.885,21.15,21.514,8.393
4854.003,21.785,21.62,8.542
4855.12,22.076,21.661,8.274
4856.238,22.941,21.452,7.844
4857.357,22.683,21.449,7.38
4858.475,21.42,21.568,7.324
4859.594,22.904,21.384,7.363
4860.713,23.513,21.233,7.8
4861.833,23.447,21.199,8.533
4862.952,23.682,21.244,8.613
4864.072,21.945,21.344,7.88
4865.192,22.882,21.351,7.465
4866.313,21.996,21.149,7.518
4867.433,21.058,20.957,7.619
4868.554,22.381,20.87,7.697
4869.675,21.689,20.891,7.931
4870.797,23.221,20.806,7.999
4871.918,20.974,20.745,7.837
4873.04,21.136,20.824,7.388
4874.162,21.117,20.535,7.477
4875.285,19.652,20.664,7.762
4876.408,20.68,20.558,7.538
4877.531,20.148,20.513,7.618
4878.654,21.882,20.594,7.903
4879.777,18.815,20.485,8.291
4880.901,20.279,20.394,8.337
4882.025,20.56,20.516,8.365
4883.149,20.04,20.432,8.35
4884.274,17.73,20.453,8.405
4885.399,19.376,20.441,8.2
4886.524,21.437,20.137,8.108
4887.649,20.923,20.301,7.957
4888.774,20.026,20.419,8.027
4889.9,19.067,20.556,8.301
4891.026,20.367,20.654,7.953
4892.153,21.352,20.584,7.846
4893.279,20.026,20.476,8.312
4894.406,21.039,20.708,8.405
4895.533,20.606,20.365,8.047
4896.661,21.136,20.324,8.229
4897.788,22.133,20.405,8.473
4898.916,21.039,20.325,8.515
4900.044,18.31,20.305,8.058
4901.173,21.835,20.653,7.806
4902.301,21.558,20.725,7.945
4903.43,21.571,20.597,7.899
4904.559,22.773,20.599,7.635
4905.689,20.065,20.615,7.972
4906.819,21.869,20.469,8.059
4907.949,21.035,20.6,7.701
4909.079,19.128,20.354,8.413
4910.209,21.574,20.373,8.455
4911.34,19.931,20.518,8.042
4912.471,21.175,20.6,7.805
4913.602,22.145,20.606,7.965
4914.734,19.95,20.401,8.095
4915.866,19.668,20.523,8.389
4916.998,21.513,20.362,8.702
4918.13,19.398,20.196,8.629
4919.263,19.732,20.247,8.142
4920.395,21.518,20.388,7.462
4921.528,21.082,20.548,7.318
4922.662,20.346,20.364,7.595
4923.795,18.858,20.505,7.812
4924.929,18.276,20.517,8.128
4926.063,19.423,20.414,8.057
4927.198,20.568,20.605,7.883
4928.332,21.51,20.579,8.02
4929.467,20.203,20.604,8.009
4930.603,21.469,20.519,7.912
4931.738,19.609,20.438,8.027
4932.874,21.015,20.432,8.057
4934.01,19.99,20.405,7.831
4935.146,20.594,20.295,7.81
4936.282,20.28,20.319,7.915
4937.419,19.546,20.482,8.377
4938.556,22.341,20.51,8.038
4939.693,19.565,20.464,7.918
4940.831,19.881,20.568,8.107
4941.969,22.139,20.616,8.44
4943.107,19.331,20.784,8.814
4944.245,20.031,20.657,8.526
4945.384,21.771,20.593,7.914
4946.523,20.727,20.627,7.664
4947.662,21.746,20.543,7.757
4948.801,19.527,20.732,8.002
4949.941,21.048,20.757,8.616
4951.081,20.967,20.683,8.649
4952.221,22.318,20.718,8.317
4953.361,22.137,20.836,8.421
4954.502,20.625,20.828,9.3
4955.643,20.914,20.69,9.272
4956.784,21.587,20.899,8.338
4957.926,20.912,20.925,7.916
4959.067,22.106,20.929,7.933
4960.209,22.108,21.051,8.141
4961.352,21.089,21.197,8.636
4962.494,22.49,21.417,8.8
4963.637,20.765,21.574,8.958
4964.78,20.404,21.608,9.236
4965.923,20.149,21.747,9.555
4967.067,19.917,22.095,9.82
4968.211,21.434,22.441,9.928
4969.355,21.149,22.5,9.952
4970.499,21.266,22.779,9.85
4971.644,20.961,22.866,10.384
4972.789,21.319,22.946,11.331
4973.934,21.067,22.895,10.995
4975.079,22.19,22.438,10.992
4976.225,21.441,22.09,11.327
4977.371,21.744,21.779,12.132
4978.517,21.967,21.62,13.485
4979.664,21.227,21.51,14.954
4980.81,20.737,21.283,15.288
4981.957,20.995,21.001,15.808
4983.105,21.76,21.013,15.595
4984.252,20.636,20.844,15.437
4985.4,21.088,20.847,15.022
4986.548,22.199,20.863,14.88
4987.696,20.225,20.794,14.278
4988.845,20.363,20.779,13.348
4989.994,19.049,20.801,12.255
4991.143,22.037,20.597,11.98
4992.292,20.212,20.597,11.86
4993.442,18.639,20.777,11.738
4994.592,20.375,20.846,11.386
4995.742,18.811,20.773,10.481
4996.892,18.971,21.006,9.992
4998.043,19.113,20.983,9.693
4999.194,20.104,20.748,9.493
5000.345,21.016,20.649,8.936
5001.497,19.653,20.674,8.808
5002.649,20.94,20.573,8.964
5003.801,21.014,20.424,8.879
5004.953,18.802,20.221,9.025
5006.106,18.85,20.249,8.981
5007.258,18.022,20.165,8.717
5008.411,17.969,19.903,8.82
5009.565,18.764,19.806,8.731
5010.718,17.813,19.931,8.02
5011.872,20.348,19.927,7.615
5013.026,19.521,19.765,7.776
5014.181,20.219,19.735,7.7
5015.336,20.806,19.758,7.396
5016.491,19.089,19.632,8.374
5017.646,20.368,19.67,8.159
5018.801,22.862,19.377,7.807
5019.957,19.308,19.377,7.694
5021.113,20.4,19.503,8.142
5022.269,19.849,19.555,8.241
5023.426,21.157,19.546,7.567
5024.583,20.24,19.362,7.39
5025.74,18.245,19.333,7.918
5026.897,18.683,19.242,7.818
5028.055,18.893,19.251,7.553
5029.213,19.198,19.239,7.382
5030.371,19.8,19.005,7.705
5031.529,19.356,18.99,7.971
5032.688,18.284,18.98,8.227
5033.847,17.021,19.057,8.259
5035.006,20.553,19.141,7.666
5036.166,18.813,19.112,7.091
5037.325,19.791,18.967,6.996
5038.485,19.016,18.847,7.165
5039.646,18.465,18.688,7.3
5040.806,17.752,18.752,7.357
5041.967,18.528,18.869,6.687
5043.128,18.713,18.894,6.766
5044.289,18.616,18.889,7.794
5045.451,17.8,18.934,7.951
5046.613,18.864,18.984,7.646
5047.775,18.46,18.906,7.78
5048.938,17.438,18.787,7.532
5050.1,17.642,18.729,7.234
5051.263,17.725,18.726,7.473
5052.426,17.19,18.682,7.648
5053.59,16.972,18.496,7.255
5054.754,17.745,18.527,7.183
5055.918,16.378,18.566,7.534
5057.082,16.092,18.552,7.517
5058.247,18.687,18.624,7.788
5059.411,17.77,18.609,7.685
5060.577,16.908,18.546,7.362
5061.742,17.177,18.661,7.528
5062.908,16.923,18.647,7.768
5064.073,17.861,18.574,8.028
5065.24,17.535,18.758,7.985
5066.406,17.773,18.871,7.666
5067.573,18.977,18.762,7.135
5068.74,17.492,18.744,7.175
5069.907,18.815,18.826,7.822
5071.075,17.078,18.848,8.339
5072.242,19.861,18.828,8.472
5073.41,18.016,19.046,7.752
5074.579,18.94,18.825,7.335
5075.747,18.946,18.868,7.558
5076.916,18.83,18.982,8.012
5078.085,19.621,18.922,7.888
5079.255,18.493,18.893,7.506
5080.424,17.907,19.143,7.507
5081.594,18.982,19.029,8.646
5082.765,17.909,19.031,10.533
5083.935,20.563,19.134,11.257
5085.106,19.325,19.125,11.832
5086.277,18.467,19.047,12.221
5087.448,19.51,19.232,11.976
5088.62,17.904,19.348,11.163
5089.792,18.962,19.315,9.726
5090.964,19.177,19.413,8.628
5092.136,18.034,19.481,8.298
5093.309,19.782,19.273,7.95
5094.482,20.904,19.393,7.681
5095.655,17.75,19.726,7.77
5096.828,18.983,19.755,7.89
5098.002,17.717,19.751,7.933
5099.176,17.814,19.853,7.885
5100.35,19.202,19.871,8.207
5101.525,19.028,19.796,8.483
5102.7,18.476,19.595,8.18
5103.875,17.152,19.562,7.572
5105.05,18.724,19.508,7.164
5106.226,18.755,19.36,7.169
5107.402,17.579,19.166,7.241
5108.578,19.769,18.766,7.079
5109.754,19.369,18.853,8.074
5110.931,19.025,18.823,7.931
5112.108,17.56,18.669,8.177
5113.285,18.656,18.544,8.457
5114.463,19.231,18.524,7.537
5115.64,19.668,18.701,7.352
5116.818,19.258,18.58,7.234
5117.997,18.647,18.584,7.855
5119.175,17.77,18.543,8.374
5120.354,19.326,18.33,7.964
5121.533,19.939,18.163,7.646
5122.713,19.829,18.225,7.506
5123.892,20.341,18.174,7.348
5125.072,19.889,18.262,6.952
5126.253,19.047,18.08,6.705
5127.433,19.897,17.86,6.767
5128.614,19.115,18.042,6.888
5129.795,18.215,17.84,7.244
5130.976,18.766,17.792,7.59
5132.158,17.856,17.956,7.541
5133.34,18.256,17.932,7.762
5134.522,18.36,17.715,7.935
5135.704,17.962,17.607,8.215
5136.887,16.765,17.557,8.414
5138.07,16.722,17.688,8.43
5139.253,18.008,17.848,8.266
5140.437,17.24,17.713,7.771
5141.62,18.603,17.497,7.636
5142.804,17.6,17.576,8.237
5143.989,17.263,17.552,8.19
5145.173,18.243,17.495,8.14
5146.358,17.51,17.429,8.193
5147.543,17.501,17.333,8.153
5148.729,17.364,17.364,8.749
5149.914,17.653,17.546,9.555
5151.1,16.904,17.381,9.965
5152.286,17.524,17.326,9.919
5153.473,16.832,17.206,9.993
5154.66,19.451,17.155,11.005
5155.847,16.619,17.221,11.566
5157.034,16.931,17.25,10.267
5158.222,17.533,17.204,9.029
5159.41,16.595,17.232,8.546
5160.598,17.65,17.197,8.429
5161.786,16.268,17.106,8.534
5162.975,17.803,17.065,8.109
5164.164,16.693,17.148,7.527
5165.353,17.862,17.283,7.578
5166.542,17.204,17.266,7.11
5167.732,17.561,17.227,6.745
5168.922,17.348,17.312,6.349
5170.113,17.346,17.344,6.321
5171.303,17.096,17.209,6.771
5172.494,16.669,17.349,6.316
5173.685,16.836,17.018,5.769
5174.877,17.841,16.884,6.279
5176.068,15.936,16.994,7.192
5177.26,18.081,17.008,7.769
5178.453,17.26,16.866,7.942
5179.645,17.033,17.038,7.653
5180.838,16.854,16.955,7.309
5182.031,17.652,17.068,7.137
5183.224,17.725,17.051,6.514
5184.418,16.756,16.855,5.725
5185.612,16.347,16.884,6.051
5186.806,16.011,17.115,7.029
5188,16.606,17.066,8.118
5189.195,16.691,17.165,8.273
5190.39,18.603,17.105,7.889
5191.585,17.191,16.958,8.01
5192.781,16.916,17.055,7.358
5193.977,18.308,16.927,7.321
5195.173,17.104,16.759,7.445
5196.369,17.3,16.907,7.08
5197.566,17.524,16.902,7.806
5198.763,17.367,16.676,9.269
5199.96,17.358,16.665,9.87
5201.157,17.911,16.845,9.196
5202.355,15.869,16.942,9.08
5203.553,17.122,16.891,9.197
5204.752,19.817,16.997,8.849
5205.95,18.856,17.11,7.72
5207.149,18.275,16.947,7.08
5208.348,16.848,16.996,7.139
5209.547,17.128,16.945,7.128
5210.747,14.841,17.039,7.97
5211.947,16.878,17.07,8.145
5213.147,18.595,16.954,7.922
5214.348,15.97,16.899,7.819
5215.549,18.501,17.025,7.482
5216.75,17.097,17.24,7.197
5217.951,17.135,17.239,7.31
5219.153,17.158,17.233,7.782
5220.355,17.888,17.292,8.311
5221.557,17.292,17.265,8.39
5222.759,17.064,17.233,8.013
5223.962,17.858,17.272,8.184
5225.165,18.018,17.162,8.933
5226.368,18.55,17.285,8.443
5227.572,17.988,17.62,7.352
5228.776,18.768,17.718,7.041
5229.98,18.068,17.587,7.54
5231.184,18.16,17.511,7.823
5232.389,16.445,17.501,8.241
5233.594,19.046,17.646,8.136
5234.799,16.987,17.813,7.633
5236.004,18.034,17.76,7.017
5237.21,18.72,17.61,7.377
5238.416,17.818,17.556,7.956
5239.623,16.801,17.668,9.084
5240.829,18.745,17.774,9.563
5242.036,17.259,17.753,8.906
5243.243,19.282,17.743,7.642
5244.451,18.421,18.014,7.167
5245.658,16.527,17.929,7.219
5246.866,18.039,17.977,7.03
5248.075,19.831,18.138,7.094
5249.283,18.843,18.199,7.528
5250.492,19.632,18.142,7.517
5251.701,17.893,18.177,7.533
5252.91,20.185,18.274,7.506
5254.12,18.481,18.355,7.405
5255.33,18.824,18.41,7.737
5256.54,19.291,18.473,9.135
5257.751,20.187,18.556,9.521
5258.962,19.08,18.588,9.128
5260.173,17.591,18.557,8.707
5261.384,19.785,18.661,8.017
5262.596,18.104,18.797,7.49
5263.808,19.023,18.877,7.061
5265.02,19.344,18.931,6.635
5266.232,18.375,18.991,6.589
5267.445,17.652,19.085,6.739
5268.658,17.915,19.171,6.897
5269.871,17.31,19.217,6.852
5271.085,19.301,19.189,6.809
5272.299,17.829,19.164,7.284
5273.513,20.039,19.303,7.156
5274.727,19.444,18.93,7.142
5275.942,18.81,18.79,7.607
5277.157,19.233,18.76,7.993
5278.372,17.499,18.646,7.918
5279.588,20.199,18.596,7.495
5280.803,18.559,18.693,7.7
5282.019,18.858,18.523,7.711
5283.236,20.068,18.444,7.479
5284.453,18.29,18.474,7.388
5285.669,18.41,18.403,7.482
5286.887,20.652,18.251,7.481
5288.104,19.699,18.432,7.58
5289.322,19.382,18.229,7.711
5290.54,19.277,18.082,7.938
5291.758,18.644,17.972,7.94
5292.977,19.031,17.871,7.56
5294.196,17.512,17.846,7.688
5295.415,17.948,17.741,8.37
5296.634,17.628,17.804,8.196
5297.854,18.838,17.769,7.723
5299.074,17.878,17.708,7.654
5300.294,19.841,17.598,8.337
5301.515,17.63,17.415,8.657
5302.736,17.867,17.528,9.095
5303.957,18.139,17.585,9.005
5305.178,19.57,17.401,8.379
5306.4,19.529,17.333,8.349
5307.622,17.837,17.373,8.115
5308.844,16.773,17.254,8.078
5310.067,18.4,17.238,8.013
5311.29,18.803,17.199,8.267
5312.513,19.044,17.008,8.682
5313.736,16.799,16.938,8.77
5314.96,16.899,16.99,8.463
5316.184,16.634,16.922,8.164
5317.408,17.899,16.852,8.109
5318.633,16.895,16.967,8.494
5319.858,17.148,16.862,8.626
5321.083,17.172,16.816,8.274
5322.308,16.845,16.903,8.121
5323.534,17.086,16.864,8.345
5324.76,16.378,16.742,8.35
5325.986,16.089,16.548,8.283
5327.212,16.472,16.588,8.136
5328.439,17.031,16.59,7.38
5329.666,16.165,16.54,7.048
5330.893,17.182,16.617,7.869
5332.121,17.308,16.503,8.728
5333.349,15.677,16.522,8.57
5334.577,17.162,16.399,7.566
5335.806,16.057,16.17,7.801
5337.034,15.831,16.138,7.758
5338.263,16.817,16.443,8.058
5339.493,16.741,16.608,8.554
5340.722,16.421,16.235,8.284
5341.952,17.126,16.324,8.235
5343.182,15.93,16.419,8.584
5344.413,15.908,16.314,8.668
5345.644,15.694,16.356,8.189
5346.875,15.159,16.292,7.886
5348.106,15.952,16.256,8.086
5349.338,15.91,16.472,8.454
5350.569,14.793,16.338,9.341
5351.802,16.895,16.09,9.358
5353.034,16.788,16.348,8.386
5354.267,17.362,16.303,7.959
5355.5,16.408,16.223,8.69
5356.733,16.481,16.263,9.23
5357.967,14.536,16.364,9.193
5359.2,14.529,16.323,8.82
5360.435,14.343,16.144,8.231
5361.669,17.379,16.256,7.573
5362.904,16.061,16.078,7.569
5364.139,14.681,16.217,7.636
5365.374,14.721,16.393,7.34
5366.61,16.41,16.246,7.68
5367.845,16.59,16.024,8.104
5369.082,13.333,16.327,8.536
5370.318,16.516,16.254,7.645
5371.555,15.373,16.263,7.45
5372.792,16.285,16.212,7.591
5374.029,14.6,16.068,8.004
5375.266,14.432,16.05,8.341
5376.504,16.617,16,8.356
5377.742,15.928,15.808,8.787
5378.981,13.703,15.979,8.376
5380.22,14.764,16.103,7.242
5381.459,16.203,15.993,6.881
5382.698,15.742,15.906,7.818
5383.937,15.681,15.806,8.042
5385.177,15.786,15.688,7.734
5386.417,15.844,15.684,7.863
5387.658,15.675,15.663,8.265
5388.898,15.212,15.657,8.167
5390.139,14.98,15.788,7.866
5391.381,15.52,15.802,7.971
5392.622,14.594,15.547,8.516
5393.864,15.37,15.594,8.652
5395.106,15.376,15.606,8.298
5396.349,15.243,15.522,7.758
5397.591,14.301,15.61,7.416
5398.834,15.326,15.554,7.226
5400.078,14.917,15.547,7.584
5401.321,14.605,15.554,7.531
5402.565,16.376,15.531,7.424
5403.809,16.646,15.492,7.502
5405.054,15.768,15.431,7.29
5406.298,15.715,15.297,7.047
5407.543,16.348,15.452,7.12
5408.789,15.891,15.487,7.595
5410.034,15.956,15.449,7.632
5411.28,15.174,15.384,7.606
5412.526,15.197,15.269,7.757
5413.772,15.869,15.32,8.116
5415.019,13.903,15.333,8.243
5416.266,15.955,15.445,8.279
5417.513,14.765,15.435,8.532
5418.761,16.3,15.386,8.613
5420.009,15.266,15.505,8.471
5421.257,15.908,15.435,8.106
5422.505,15.424,15.55,8.112
5423.754,17.42,15.659,8.472
5425.003,14.904,15.616,8.202
5426.253,16.591,15.497,7.975
5427.502,16.124,15.489,8.29
5428.752,14.235,15.606,8.526
5430.002,14.779,15.604,8.299
5431.253,14.067,15.661,8.417
5432.503,16.696,15.791,8.299
5433.754,16.199,15.843,8.215
5435.006,16.152,15.778,8.626
5436.257,14.171,15.897,8.606
5437.509,16.038,15.973,8.429
5438.761,16.077,15.941,8.849
5440.014,16.2,15.937,8.733
5441.267,14.721,15.958,8.833
5442.52,16.519,15.918,8.698
5443.773,16.354,15.932,8.545
5445.027,16.404,15.938,8.321
5446.28,15.144,15.99,8.452
5447.535,15.243,16.043,8.953
5448.789,14.735,16.037,8.902
5450.044,14.797,15.965,9.037
5451.299,16.349,15.911,9.345
5452.554,16.352,16.041,9.302
5453.81,16.523,16.05,9.074
5455.066,14.604,15.978,9.063
5456.322,15.276,16.01,8.647
5457.579,16.025,16.062,8.663
5458.835,15.203,15.731,10.325
5460.092,15.098,15.866,19.365
5461.35,15.099,16.035,43.017
5462.608,16.772,15.919,52.28
5463.865,15.375,15.772,35.137
5465.124,15.734,15.842,18.804
5466.382,15.829,15.628,12.403
5467.641,15.143,15.649,11.031
5468.9,16.187,15.742,10.234
5470.16,16.187,15.809,10.203
5471.419,16.413,15.882,10.379
5472.679,15.645,15.967,10.012
5473.94,15.72,15.927,9.74
5475.2,15.928,15.786,9.446
5476.461,15.668,15.813,9.269
5477.722,15.346,15.901,8.929
5478.984,15.189,15.86,8.985
5480.245,16.927,15.688,9.215
5481.507,15.306,15.646,9.45
5482.77,14.985,15.837,9.942
5484.032,16.551,15.956,10.472
5485.295,16.332,15.946,10.489
5486.558,15.955,15.942,10.177
5487.822,15.493,16.013,9.655
5489.086,15.71,15.969,8.89
5490.35,16.378,15.891,8.808
5491.614,15.553,16.004,9.16
5492.879,15.368,16.007,9.067
5494.144,16.854,15.979,8.833
5495.409,16.147,16.175,8.742
5496.674,16.529,16.129,8.823
5497.94,15.675,16.128,9.19
5499.206,16.868,16.263,9.449
5500.473,17.231,16.361,9.677
5501.739,15.473,16.402,9.75
5503.006,16.623,16.452,9.469
5504.273,16.585,16.351,9.337
5505.541,17.531,16.366,9.167
5506.809,16.959,16.511,9.176
5508.077,16.275,16.523,9.229
5509.345,15.638,16.409,9.516
5510.614,16.444,16.438,9.528
5511.883,19.191,16.624,9.273
5513.152,15.433,16.614,9.229
5514.422,16.761,16.594,9.795
5515.692,16.675,16.699,10.706
5516.962,17.364,16.829,10.74
5518.233,16.506,16.856,10.234
5519.503,16.958,16.948,10.247
5520.774,16.99,17.054,10.384
5522.046,16.076,16.999,10.176
5523.317,17.022,16.797,10.013
5524.589,16.203,16.736,9.893
5525.862,16.504,16.972,9.411
5527.134,17.194,17.065,9.485
5528.407,16.87,17.223,9.476
5529.68,17.051,17.179,9.237
5530.953,16.637,17.175,9.144
5532.227,17.792,17.342,9.464
5533.501,17.356,17.489,9.49
5534.775,16.598,17.494,9.249
5536.05,17.781,17.581,9.354
5537.325,18.649,17.6,9.394
5538.6,17.658,17.745,9.547
5539.875,17.281,17.879,9.373
5541.151,18.293,17.768,9.146
5542.427,15.751,17.907,9.734
5543.704,19.277,18.057,10.121
5544.98,18.054,18.048,10.891
5546.257,19.185,18.166,11.046
5547.534,19.751,18.392,9.939
5548.812,18.499,18.453,9.471
5550.09,19.649,18.513,9.279
5551.368,18.298,18.652,9.684
5552.646,19.04,18.682,9.982
