wavelength,flux,model,sky
3971.001,28.388,29.653,4.105
3971.915,33.397,29.527,4.719
3972.83,31.344,29.805,5.213
3973.745,24.471,29.405,5.66
3974.66,32.335,29.708,6.21
3975.575,30.508,29.863,6.777
3976.491,27.138,29.599,7.199
3977.407,29.537,29.534,7.373
3978.323,33.651,29.491,7.307
3979.239,32.405,29.599,7.469
3980.155,31.507,29.715,7.743
3981.072,33.896,29.719,7.539
3981.988,29.46,29.6,7.045
3982.905,30.295,29.55,6.879
3983.823,31.25,29.859,7.301
3984.74,30.518,29.963,7.392
3985.658,29.339,29.974,6.932
3986.576,30.171,29.937,6.312
3987.494,31.499,29.965,6.056
3988.412,30.967,30.083,6.842
3989.33,29.403,29.987,8.154
3990.249,29.577,29.827,8.226
3991.168,31.449,30.008,7.282
3992.087,31.747,30.068,6.639
3993.006,29.747,29.994,6.825
3993.926,29.702,30.262,7.351
3994.846,31.389,30.779,7.315
3995.766,28.936,30.602,6.917
3996.686,29.699,30.534,6.653
3997.606,31.102,30.531,6.7
3998.527,29.351,30.737,7.075
3999.447,28.898,31.216,7.836
4000.369,30.217,31.05,8.142
4001.29,34.291,30.624,7.931
4002.211,31.743,30.507,7.401
4003.133,34.222,30.751,7.172
4004.055,31.344,31.129,7.368
4004.977,33.701,31.322,7.66
4005.899,34.066,31.106,7.615
4006.822,31.385,30.843,7.328
4007.744,31.092,31.345,7.914
4008.667,33.1,31.384,9.594
4009.59,35.123,31.11,10.616
4010.514,31.171,31.477,10.331
4011.437,30.763,31.507,9.868
4012.361,33.479,31.436,9.766
4013.285,33.421,31.466,9.74
4014.209,30.325,31.487,9.748
4015.134,29.061,31.491,9.676
4016.058,30.674,31.472,9.053
4016.983,33.61,31.254,8.377
4017.908,35.363,31.435,8.157
4018.833,35.378,31.243,8.107
4019.759,32.047,31.573,8.784
4020.685,34.826,31.854,9.818
4021.61,34.477,31.298,10.354
4022.537,30.712,31.775,9.842
4023.463,32.984,31.581,8.878
4024.389,34.636,31.14,8.659
4025.316,32.902,31.149,8.944
4026.243,32.603,31.383,8.664
4027.17,33.451,31.321,7.716
4028.098,33.908,31.285,7.487
4029.025,34.905,31.005,7.949
4029.953,33.062,31.012,7.891
4030.881,34.203,31.294,7.382
4031.809,32.889,31.259,7.516
4032.738,32.199,30.786,7.827
4033.667,32.886,31.04,7.713
4034.596,33.856,31.38,7.411
4035.525,33.735,31.202,7.322
4036.454,31.756,31.022,7.569
4037.383,29.625,31.004,8.044
4038.313,32.252,30.931,8.266
4039.243,31.652,30.991,8.269
4040.173,32.362,30.909,8.564
4041.104,32.156,30.901,9.229
4042.034,31.32,30.895,9.863
4042.965,30.564,30.822,10.421
4043.896,32.723,30.842,10.719
4044.827,33.374,31.141,11.118
4045.759,30.651,30.938,14.446
4046.691,34.616,30.585,21.777
4047.622,29.982,30.597,27.019
4048.555,36.132,30.86,24.176
4049.487,33.026,30.904,16.445
4050.419,33.764,30.743,11.251
4051.352,30.796,30.733,10.064
4052.285,30.212,30.605,9.668
4053.218,30.895,30.671,9.042
4054.152,30.951,30.915,9.04
4055.085,31.36,30.93,9.799
4056.019,28.548,30.664,9.759
4056.953,32.342,30.678,8.994
4057.887,30.492,31.034,8.206
4058.822,31.351,31.1,7.967
4059.757,31.076,30.915,8.777
4060.692,29.953,30.978,9.568
4061.627,31.42,31.126,9.405
4062.562,32.305,31.183,9.057
4063.498,31.017,31.457,9.274
4064.433,30.342,31.47,10.502
4065.369,31.03,31.394,11.669
4066.305,31.73,31.559,11.752
4067.242,30.201,31.265,10.573
4068.178,31.909,31.452,9.753
4069.115,31.641,31.31,9.821
4070.052,31.905,31.282,9.953
4070.99,30.249,31.467,9.325
4071.927,29.1,31.524,8.984
4072.865,29.663,31.679,9.025
4073.803,30.242,31.6,8.606
4074.741,30.953,31.549,8.628
4075.679,31.64,31.634,9.298
4076.618,28.508,31.601,10.727
4077.557,32.97,31.411,12.098
4078.496,32.604,31.666,12.112
4079.435,28.969,31.571,11.006
4080.374,32.198,31.657,10.514
4081.314,32.403,31.743,10.921
4082.254,31.249,31.728,10.672
4083.194,32.634,31.753,9.329
4084.134,31.69,31.78,9
4085.075,30.408,32.046,9.098
4086.015,31.343,32.112,9.159
4086.956,30.326,32.173,9.3
4087.898,32.732,32.163,9.625
4088.839,27.585,31.952,9.734
4089.781,30.599,32.058,8.929
4090.722,32.634,32.115,8.779
4091.664,32.478,32.282,8.805
4092.607,33.089,32.349,8.375
4093.549,31.01,32.217,8.485
4094.492,28.941,32.134,8.654
4095.435,30.049,32.369,8.211
4096.378,29.303,32.291,7.378
4097.321,31.967,32.072,7.125
4098.265,31.803,32.128,7.626
4099.208,33.274,32.429,7.752
4100.152,33.356,32.464,7.309
4101.097,32.756,31.991,6.85
4102.041,32.109,32.434,6.749
4102.986,30.603,32.117,6.639
4103.931,30.893,31.768,6.472
4104.876,32.539,31.988,6.665
4105.821,31.981,32.339,7.127
4106.766,31.079,32.317,7.635
4107.712,31.285,31.701,7.552
4108.658,30.163,31.89,7.576
4109.604,29.293,32.087,7.857
4110.551,32.093,31.923,7.982
4111.497,34.571,31.882,7.567
4112.444,33.65,31.867,7.328
4113.391,34.127,31.725,7.353
4114.338,31.681,31.626,7.398
4115.286,31.699,31.771,7.298
4116.233,34.005,31.92,7.425
4117.181,33.749,31.842,6.604
4118.13,35.622,31.963,6.539
4119.078,31.367,31.941,6.292
4120.026,30.844,31.613,7.174
4120.975,33.072,31.328,7.507
4121.924,31.205,31.452,7.711
4122.873,29.554,31.785,7.987
4123.823,33.723,31.508,8.559
4124.772,31.902,31.303,8.925
4125.722,32.77,31.714,8.845
4126.672,31.445,31.653,8.565
4127.623,32.007,31.366,8.43
4128.573,31.129,31.662,8.595
4129.524,31.93,31.414,8.545
4130.475,30.998,31.379,8.66
4131.426,30.205,31.482,8.479
4132.378,32.058,31.498,8.335
4133.329,30.458,31.375,8.525
4134.281,31.243,31.293,8.35
4135.233,29.43,31.432,8.29
4136.185,34.254,31.262,8.447
4137.138,32.819,31.278,9.251
4138.091,30.636,31.214,9.88
4139.044,29.811,31.065,9.654
4139.997,30.92,31.035,9.054
4140.95,32.17,30.855,8.777
4141.904,31.092,31.063,8.411
4142.858,29.489,31.361,7.676
4143.812,31.37,31.354,6.811
4144.766,32.207,31.098,6.703
4145.72,29.695,30.997,7.131
4146.675,32.965,31.217,7.704
4147.63,29.644,31.187,8.313
4148.585,31.039,30.894,8.174
4149.54,29.231,30.871,7.588
4150.496,29.317,31.146,7.16
4151.452,31.563,31.231,7.605
4152.408,30.577,30.961,7.936
4153.364,29.577,30.971,7.868
4154.321,30.637,30.916,8.042
4155.277,28.968,30.789,8.817
4156.234,27.639,30.769,10.188
4157.191,29.81,30.808,10.326
4158.149,29.635,30.596,9.615
4159.106,30.458,30.747,9.193
4160.064,29.834,30.769,9.169
4161.022,27.985,30.687,9.579
4161.98,27.661,30.72,9.795
4162.939,30.097,30.711,9.874
4163.897,32.232,30.224,10.258
4164.856,27.695,30.573,11.336
4165.815,27.403,30.582,11.861
4166.775,28.873,30.438,11.044
4167.734,31.86,30.485,10.336
4168.694,30.804,30.521,10.82
4169.654,32.059,30.272,10.616
4170.614,29.312,30.292,10.312
4171.574,28.512,30.333,10.305
4172.535,30.475,30.482,9.958
4173.496,29.377,30.589,9.77
4174.457,31.103,30.498,9.679
4175.418,29.543,30.601,8.852
4176.38,27.904,30.344,8.605
4177.342,30.601,30.323,9.062
4178.304,26.754,30.302,9.363
4179.266,31.667,30.378,9.035
4180.228,31.461,30.775,9.301
4181.191,28.054,30.762,9.45
4182.154,28.425,30.213,9.124
4183.117,29.306,30.128,8.551
4184.08,28.622,30.615,8.199
4185.044,29.852,30.77,8.349
4186.007,28.561,30.16,8.475
4186.971,30.309,30.179,8.288
4187.936,26.834,30.308,7.493
4188.9,28.962,30.215,6.75
4189.865,26.898,30.441,7.265
4190.83,28.605,30.723,8.062
4191.795,30.372,30.455,8.335
4192.76,29.774,30.224,8.027
4193.725,29.875,30.036,7.908
4194.691,30.3,30.209,8.065
4195.657,29.491,30.079,8.004
4196.623,30.093,29.749,7.605
4197.59,29.32,29.91,6.871
4198.556,30.484,30.219,6.474
4199.523,29.45,29.787,6.583
4200.49,27.227,29.701,6.92
4201.458,28.808,29.87,6.995
4202.425,30.499,29.916,7.1
4203.393,28.697,29.955,7.253
4204.361,27.615,30.376,7.178
4205.329,29.226,30.201,7.186
4206.298,28.504,30.055,7.396
4207.266,29.228,30.032,7.82
4208.235,32.768,29.997,8.34
4209.204,32.711,30.017,8.775
4210.174,31.82,30.286,8.223
4211.143,29.389,30.116,7.641
4212.113,28.332,30.013,7.493
4213.083,29.172,30.07,7.412
4214.053,28.584,30.123,7.329
4215.023,27.346,30.064,7.262
4215.994,29.564,29.965,7.494
4216.965,29.827,29.851,7.837
4217.936,27.412,29.597,8.008
4218.907,28.921,29.733,7.585
4219.879,27.766,30.021,6.971
4220.851,29.862,29.896,7.091
4221.823,28.969,29.85,7.168
4222.795,28.408,29.634,6.885
4223.767,27.142,29.844,6.621
4224.74,26.23,29.879,6.969
4225.713,29.016,29.617,7.241
4226.686,30.822,29.55,6.692
4227.659,29.094,29.629,6.028
4228.633,29.172,29.542,6.286
4229.607,29.629,29.602,6.812
4230.581,29.506,29.334,6.943
4231.555,28.532,29.241,7.118
4232.53,30.627,29.737,7.109
4233.504,30.015,29.255,7.092
4234.479,29.759,29.282,7.221
4235.454,30.381,29.426,7.485
4236.43,28.401,29.362,7.291
4237.405,26.346,29.223,7.023
4238.381,26.879,29.213,7.07
4239.357,27.402,29.16,6.88
4240.333,25.399,29.166,6.906
4241.31,31.398,29.164,6.779
4242.287,29.379,28.951,6.568
4243.263,29.106,28.907,6.515
4244.241,29.474,29.234,6.791
4245.218,28.837,28.933,7.491
4246.196,28.158,28.824,8.574
4247.173,27.338,29.077,9.702
4248.152,27.316,28.999,10.312
4249.13,28.843,28.78,9.487
4250.108,27.692,28.962,8.047
4251.087,32.703,28.897,7.34
4252.066,28.002,28.886,7.568
4253.045,29.316,29.026,8.172
4254.025,29.353,28.807,8.321
4255.004,26.012,28.454,7.863
4255.984,28.321,28.564,7.476
4256.964,29.267,28.703,7.72
4257.945,26.732,28.382,8.299
4258.925,27.936,28.454,8.543
4259.906,28.707,28.531,7.852
4260.887,26.494,28.596,7.229
4261.868,28.502,28.882,7.244
4262.849,29.147,28.709,7.299
4263.831,27.313,28.476,7.787
4264.813,27.394,28.236,8.109
4265.795,29.843,28.166,8.188
4266.778,29.108,28.118,8.134
4267.76,27.51,28.016,8.356
4268.743,27.506,28.376,8.547
4269.726,27.709,28.334,7.913
4270.709,27.773,28.083,7.69
4271.693,28.745,28.099,7.886
4272.676,28.584,28.235,7.691
4273.66,25.536,28.198,7.21
4274.644,29.463,28.429,7.046
4275.629,30.132,28.474,6.98
4276.613,29.908,28.227,7.297
4277.598,29.993,28.114,7.967
4278.583,28.779,28.204,8.503
4279.569,27.787,28.232,8.325
4280.554,28.624,28.236,7.847
4281.54,29.076,28.33,7.583
4282.526,29.024,28.072,7.471
4283.512,30.12,28.231,7.614
4284.499,27.463,28.592,7.484
4285.485,27.785,28.398,7.445
4286.472,30.115,28.319,7.362
4287.459,28.166,28.176,7.288
4288.447,26.672,28.307,6.391
4289.434,27.41,28.429,6.362
4290.422,28.176,28.372,6.808
4291.41,27.879,28.37,6.736
4292.398,28.146,28.599,7.261
4293.387,28.903,28.299,7.766
4294.375,26.701,28.363,7.644
4295.364,25.647,28.526,7.464
4296.353,30.503,28.619,7.395
4297.343,29.492,28.8,7.167
4298.332,28.688,28.858,6.825
4299.322,29.147,29,6.868
4300.312,30.475,28.916,6.827
4301.303,28.497,28.467,6.48
4302.293,27.504,28.133,6.117
4303.284,28.083,28.229,6.262
4304.275,28.018,27.998,6.331
4305.266,27.803,28.032,6.588
4306.258,27.44,28.205,6.928
4307.249,26.921,28.117,7.148
4308.241,27.302,27.97,7.419
4309.233,30.489,28.013,7.257
4310.226,30.039,27.661,7.428
4311.218,28.579,27.745,7.37
4312.211,27.69,27.9,7.427
4313.204,27.596,28.099,8.002
4314.197,26.577,27.987,9.134
4315.191,27.775,27.587,9.974
4316.184,28.949,28.113,9.7
4317.178,26.825,27.982,9.587
4318.173,27.203,28.051,9.728
4319.167,26.488,27.988,9.561
4320.162,27.004,27.731,9.586
4321.157,28.43,27.76,9.538
4322.152,28.489,27.946,9.351
4323.147,27.288,27.64,8.399
4324.143,27.336,28.034,7.418
4325.138,26.872,28.167,7.147
4326.134,27.192,27.938,7.449
4327.131,27.377,28.053,7.405
4328.127,27.331,27.867,7.448
4329.124,28.998,27.806,7.884
4330.121,28.336,27.823,8.127
4331.118,26.216,27.884,8.123
4332.115,24.572,27.818,8.106
4333.113,24.087,27.578,8.084
4334.111,26.99,27.612,8.378
4335.109,29.522,27.74,8.21
4336.107,27.903,27.919,8.549
4337.106,22.031,28.058,8.825
4338.104,25.873,27.973,7.906
4339.103,29.155,27.714,7.405
4340.103,27.01,27.781,7.209
4341.102,30.591,27.807,7.404
4342.102,27.581,28.014,7.776
4343.102,26.832,27.958,8.028
4344.102,27.831,27.687,7.896
4345.102,29.708,27.638,8.027
4346.103,29.392,27.594,8.208
4347.104,27.055,27.358,8.984
4348.105,26.354,27.469,9.85
4349.106,27.88,27.809,10.14
4350.108,28.111,27.961,9.958
4351.109,27.06,27.767,9.301
4352.111,26.472,27.622,8.237
4353.114,26.948,27.617,7.703
4354.116,27.931,27.7,7.72
4355.119,26.647,27.698,8.07
4356.122,29.192,27.537,8.674
4357.125,26.533,27.451,14.524
4358.128,27.952,27.806,31.907
4359.132,27.749,27.776,49.339
4360.136,29.471,27.546,47.801
4361.14,29.723,27.691,30.087
4362.144,28.207,27.844,16.567
4363.149,28.505,27.544,12.039
4364.153,28.712,27.724,10.503
4365.158,27.605,27.668,9.614
4366.164,27.976,27.682,9.165
4367.169,26.632,27.71,8.926
4368.175,29.048,27.859,8.917
4369.181,26.72,28.169,8.772
4370.187,29.595,28.044,8.681
4371.193,28.53,27.918,8.427
4372.2,27.955,27.967,8.315
4373.207,29.29,28.196,8.125
4374.214,27.413,28.261,8.413
4375.221,26.709,28.037,9.399
4376.229,29.146,28.216,9.924
4377.236,29.326,28.281,9.561
4378.244,29.262,28.244,9.19
4379.253,29.052,28.326,9.158
4380.261,26.803,28.345,8.723
4381.27,27.673,28.192,8.537
4382.279,27.065,28.457,8.71
4383.288,28.899,28.41,7.691
4384.297,28.704,28.529,6.857
4385.307,31.094,28.612,6.703
4386.317,30.378,28.636,7.489
4387.327,27.166,28.755,8.062
4388.337,27.494,28.675,8.075
4389.348,28.497,28.658,7.782
4390.359,28.129,28.674,7.539
4391.37,30.602,28.821,7.671
4392.381,28.53,28.914,8.003
4393.392,30.839,28.833,8.347
4394.404,29.141,29.053,8.268
4395.416,30.49,29.012,8.067
4396.428,29.597,29.257,8.1
4397.441,28.291,29.191,8.233
4398.453,30.966,29.119,8.385
4399.466,30.37,29.6,8.279
4400.479,29.135,29.423,8.481
4401.493,29.996,29.279,8.79
4402.506,29.224,29.661,9.026
4403.52,28.57,29.536,9.101
4404.534,30.021,29.116,9.376
4405.549,29.418,29.213,9.811
4406.563,28.225,28.822,10.177
4407.578,28.267,28.352,9.948
4408.593,29.606,28.439,10.412
4409.608,28.61,28.401,10.941
4410.624,28.707,28.02,10.061
4411.639,28.174,27.863,9.656
4412.655,28.263,28.139,10.642
4413.671,29.207,28.003,10.638
4414.688,29.691,28.096,10.397
4415.704,28.633,28.086,10.263
4416.721,26.035,27.807,10.516
4417.738,26.053,27.655,10.179
4418.756,27.893,27.876,9.287
4419.773,28.119,27.81,9.528
4420.791,26.718,27.876,10.078
4421.809,27.767,27.96,10.081
4422.827,26.676,27.795,9.947
4423.846,26.39,27.507,9.557
4424.865,28.061,27.649,9.515
4425.884,27.964,27.684,9.848
4426.903,27.896,27.564,10.036
4427.922,27.272,27.495,10.145
4428.942,24.888,27.53,9.778
4429.962,26.302,27.533,9.14
4430.982,27.952,27.435,9.078
4432.003,27.165,27.446,9.461
4433.023,26.921,27.444,9.538
4434.044,24.723,27.384,9.382
4435.065,23.492,27.379,8.492
4436.086,26.997,27.478,7.993
4437.108,26.465,27.442,8.514
4438.13,27.662,27.347,9.088
4439.152,26.771,27.462,9.427
4440.174,25.649,27.659,9.578
4441.197,27.324,27.598,9.452
4442.219,27.429,27.322,9.13
4443.242,25.848,27.511,8.76
4444.266,27.073,27.433,8.392
4445.289,28.23,27.306,8.719
4446.313,25.23,27.354,9.438
4447.337,26.114,27.343,9.558
4448.361,26.034,27.121,8.963
4449.385,26.465,27.261,8.396
4450.41,27.33,27.251,8.71
4451.435,27.58,27.192,8.518
4452.46,28.707,27.357,8.057
4453.485,27.723,27.496,7.833
4454.511,27.163,27.328,7.642
4455.536,27.885,27.363,7.592
4456.562,26.444,27.229,7.914
4457.589,27.278,27.231,7.758
4458.615,29.522,27.164,7.432
4459.642,27.927,27.082,7.727
4460.669,25.933,27.193,7.835
4461.696,28.04,27.183,7.572
4462.724,25.846,27.225,7.598
4463.751,27.934,27.168,7.788
4464.779,24.037,27.124,8.04
4465.808,28.745,27.266,7.989
4466.836,29.979,27.421,8.176
4467.865,26.3,27.111,8.388
4468.893,26.649,27.398,8.011
4469.923,27.476,27.169,7.691
4470.952,26.595,27.056,7.825
4471.982,26.091,27.231,7.967
4473.011,27.237,27.041,8.126
4474.041,24.921,26.707,8.019
4475.072,27.58,27.415,8.242
4476.102,29.044,27.132,8.725
4477.133,27.879,26.813,8.49
4478.164,27.164,26.98,8.073
4479.195,27.732,26.988,7.903
4480.227,26.294,26.998,7.877
4481.259,27.355,27.101,7.693
4482.29,28.39,26.995,7.546
4483.323,26.171,26.936,7.69
4484.355,25.494,27.031,8.294
4485.388,25.144,27.091,8.86
4486.421,26.808,27.041,8.918
4487.454,27.052,26.997,8.734
4488.487,26.081,27.114,8.455
4489.521,27.354,27.161,8.198
4490.555,28.999,27.023,7.602
4491.589,24.657,26.877,7.973
4492.623,25.452,26.935,8.543
4493.658,26.143,26.998,8.644
4494.693,26.6,27.094,8.378
4495.728,26.388,27.033,8.467
4496.763,24.746,26.838,8.742
4497.799,25.218,26.784,8.831
4498.834,26.123,26.949,9.12
4499.87,24.076,26.747,9.587
4500.907,27.12,26.553,9.181
4501.943,28.174,26.726,8.42
4502.98,27.541,26.773,8.272
4504.017,24.78,26.392,9.117
4505.054,26.943,26.711,9.575
4506.091,26.371,26.471,9.409
4507.129,26.344,26.386,9.051
4508.167,27.017,26.391,8.91
4509.205,28.336,26.303,8.591
4510.244,26.701,26.247,8.381
4511.282,26.054,26.328,8.616
4512.321,27.535,26.171,8.493
4513.36,26.688,26.186,8.362
4514.4,27.011,26.189,8.396
4515.439,24.79,26.037,8.148
4516.479,25.149,25.889,8.111
4517.519,25.449,25.907,8.069
4518.559,25.433,26.004,7.798
